Tweet;Creation_date;Name;User;location;retweets;favorites;friends_count;followers_count
@nararmcf Tem muitos zoológicos fazendo um trabalho foda contra a extinção mano,como foi o caso dos filhotes de arara azul que nasceram em incubadoras esses dias atrás.;Carlos Eduardo;Madridbfr;2020-11-27 00:14:38;;0;0;1418;864
"@BTSxSUD @transamericabh @BTS_twt Oii @transamericabh! Queria muito ouvir #LifeGoesOn do grupo @BTS_twt, tocando na sua rádio! Obrigada!

Arara azul";ᴮᴱLia⁷;staygracious1;2020-11-27 00:12:17;;0;0;405;253
"@BTSxSUD @transamericabh @BTS_twt Oii @transamericabh! Queria muito ouvir #LifeGoesOn do grupo @BTS_twt, tocando na sua rádio! Obrigada!

arara azul";BE⁷;pjmvenus_;2020-11-26 23:39:42;🌱;0;0;223;155
"@BTSxSUD @transamericabh @BTS_twt Oii @transamericabh ! Queria muito ouvir #LifeGoesOn do grupo @BTS_twt , tocando na sua rádio! Obrigada!
Arara Azul";Tatychann;Tatychann;2020-11-26 23:38:50;;0;0;211;33
N venham me cancelar quando minha arara azul chegar semana quivem, eu comprei ela de pessoas que maltratavam ela então na lógica eu salvei ela #paz;Pedro;ofPedroH1;2020-11-26 20:38:59;;0;2;283;139
"CPI do Zoológico no RJ é duramente criticada: ‘Primeira pizza da Câmara RJ pós eleições’, diz vereador https://t.co/xAXwfSdXVZ 
""...mais de 350 animais já haviam morrido...pelo menos 18 haviam sido furtados, incluindo uma Arara Azul, avaliada em até R$ 80 mil"" @MarceloCrivella";Ugo T. Werneck Vianna;VeganFac;2020-11-26 18:06:28;Rio de Janeiro / RJ - Brasil;1;0;29;32
"Força
VOA MLK tentaram te derrubar mas esqueceram que arara azul voa
#FreeVictor https://t.co/hwn3airGnf";Aura Lana;hobililibee;2020-11-26 14:54:52;;0;1;866;821
meu deus apareceu um cara com uma arara azul no ombro do nosso lado eu tô-;maju ✨ o hobbit;hwyparrish;2020-11-26 14:30:59;⊹ AKIELOS ⊹;0;0;713;590
aproveitar a enquete e comentar que semana passada uma mulher me parou na rua para perguntar qual que era o tom do meu cabelo. falei a cor, o tom (Arara Azul), indiquei a loja onde vendia aqui em Ilhéus;clementine;ctrnab;2020-11-26 14:29:04;221B Baker Street;0;1;466;473
@__batistalucass vc né;Fláงiค🌻;arara_azul_;2020-11-26 14:06:41;Minas Gerais, Brasil;0;1;88;61
